Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-10538,74340,Bug,27.08.21 11:20,1.0
SEP-10624,75187,Bug,31.08.21 09:17,2.0
SEP-10652,75430,Bug,31.08.21 09:22,0.5
SEP-10650,75392,Bug,31.08.21 09:23,0.5
SEP-1103,17809,Story,31.08.21 09:29,3.0
SEP-10644,75330,Bug,01.09.21 11:08,2.0
SEP-10656,75434,Bug,01.09.21 11:11,2.0
SEP-10360,72267,Bug,01.09.21 11:21,2.0
SEP-9826,59086,Story,01.09.21 11:21,3.0
SEP-10312,71827,Bug,02.09.21 09:51,0.5
SEP-10374,72731,Bug,08.09.21 11:16,1.0
SEP-7317,52548,Story,08.09.21 11:19,5.0
SEP-10456,73580,Bug,09.09.21 09:58,3.0
SEP-10704,75886,Bug,09.09.21 09:58,0.5
SEP-10723,76049,Bug,09.09.21 09:58,1.0
SEP-10721,76047,Bug,09.09.21 09:59,1.0
SEP-10744,76364,Bug,10.09.21 11:11,0.5
SEP-10772,76592,Bug,13.09.21 11:29,
SEP-10762,76501,Bug,13.09.21 11:30,1.0
SEP-10750,76417,Bug,13.09.21 11:30,1.0
SEP-10714,75974,Bug,13.09.21 11:30,2.0
SEP-8367,56724,Story,14.09.21 09:18,2.0
SEP-10368,72528,Task,14.09.21 09:41,1.0
SEP-10612,75125,Story,15.09.21 11:07,5.0
SEP-10755,76440,Bug,15.09.21 11:13,1.0
SEP-10773,76594,Bug,16.09.21 09:47,0.5
SEP-1015,17091,Story,21.09.21 11:06,2.0
SEP-95,12162,Story,22.09.21 11:08,3.0
SEP-10788,76758,Story,23.09.21 09:39,2.0
SEP-10779,76659,Bug,27.09.21 11:21,2.0
SEP-10587,74878,Story,27.09.21 11:27,3.0
SEP-10832,77303,Bug,28.09.21 09:49,0.5
SEP-10790,76760,Task,28.09.21 10:44,1.0
SEP-10907,78175,Bug,30.09.21 09:54,0.5
SEP-7631,53745,Story,30.09.21 14:05,5.0
SEP-10910,78180,Bug,01.10.21 11:15,2.0
SEP-6594,50214,Story,01.10.21 11:20,5.0
SEP-87,12154,Story,01.10.21 11:28,5.0
SEP-10847,77478,Bug,01.10.21 11:28,5.0
SEP-10950,78621,Bug,04.10.21 11:21,0.5
SEP-10886,77958,Story,05.10.21 11:20,1.0
SEP-10817,77165,Bug,05.10.21 11:23,1.0
SEP-10828,77268,Bug,05.10.21 11:28,5.0
SEP-11022,79170,Bug,05.10.21 11:31,1.0
SEP-10935,78476,Bug,06.10.21 11:12,1.0
SEP-9125,61339,Bug,07.10.21 10:11,0.5
SEP-10815,77124,Story,08.10.21 11:13,2.0
SEP-11006,78966,Bug,08.10.21 11:14,0.5
SEP-10941,78541,Bug,08.10.21 11:18,1.0
SEP-10837,77343,Bug,08.10.21 11:18,0.5
SEP-10913,78183,Bug,11.10.21 11:08,1.0
SEP-10945,78610,Bug,11.10.21 11:08,0.5
SEP-11066,79461,Bug,11.10.21 11:08,0.5
SEP-11019,79155,Bug,12.10.21 09:11,0.5
SEP-10933,78429,Bug,12.10.21 09:12,1.0
SEP-10989,78878,Bug,12.10.21 09:18,0.5
SEP-11016,79140,Bug,12.10.21 09:19,1.0
SEP-11095,79753,Bug,12.10.21 09:19,1.0
SEP-10918,78201,Task,12.10.21 10:54,5.0
SEP-11024,79159,Bug,13.10.21 11:03,0.5
SEP-11025,79148,Bug,13.10.21 11:03,1.0
SEP-11028,79285,Bug,13.10.21 11:18,2.0
SEP-11156,80769,Bug,14.10.21 09:43,0.5
SEP-11137,80570,Bug,15.10.21 11:10,0.5
SEP-11148,80589,Bug,15.10.21 11:12,1.0
SEP-11163,80786,Bug,15.10.21 11:14,1.0
SEP-11014,79137,Bug,18.10.21 11:08,0.5
SEP-11129,80402,Bug,19.10.21 11:39,1.0
SEP-11145,80586,Bug,19.10.21 11:40,1.0
SEP-11134,80546,Bug,22.10.21 11:13,0.5
SEP-11111,80006,Bug,22.10.21 11:14,1.0
SEP-11190,81052,Bug,22.10.21 11:15,1.0
SEP-10975,78735,Story,25.10.21 11:28,1.0
SEP-11088,79688,Bug,25.10.21 11:35,3.0
SEP-11310,86670,Bug,27.10.21 11:08,1.0
SEP-11212,84794,Bug,28.10.21 10:07,0.5
SEP-9864,66543,Story,02.11.21 11:09,3.0
SEP-11194,81088,Bug,02.11.21 11:10,1.0
SEP-11394,88099,Bug,05.11.21 11:07,1.0
